Frequency(ppm);Intensity
-52,29081;-0,176480722484343
-52,28906;0,275345061798687
-52,28731;0,187638775864623
-52,28556;-0,0313405054289746
-52,28381;0,154390402833104
-52,28205;0,225923331167229
-52,2803;0,0171599613992075
-52,27855;0,168886919732235
-52,2768;0,192530923421507
-52,27504;-0,41684289522821
-52,2733;-0,102462099388973
-52,27155;0,217470704278376
-52,26979;0,0991330813243305
-52,26804;0,183770540648814
-52,26629;-0,10868508490549
-52,26454;0,282385254043461
-52,26278;-0,169695744436966
-52,26103;-0,126064397508113
-52,25928;0,301571403328455
-52,25753;0,0438791261724948
-52,25578;0,291653914470436
-52,25402;0,22490731624207
-52,25227;0,165808155249835
-52,25052;0,212798368410062
-52,24877;-0,0226932611196416
-52,24701;-0,0509491437915031
-52,24527;0,0441103064703348
-52,24352;0,145965618494547
-52,24176;-0,116893754658732
-52,24001;-0,0814043023462893
-52,23826;0,156852523417012
-52,23651;-0,0144842316100536
-52,23475;-0,297314112099707
-52,233;-0,25107503920433
-52,23125;0,0426044573613669
-52,2295;0,266845150380006
-52,22775;-0,088122583320598
-52,22599;-0,10399029992689
-52,22424;0,371353167803599
-52,22249;0,256078838724791
-52,22074;0,139678266662534
-52,21898;-0,080711285359661
-52,21724;-0,0372727068696174
-52,21548;-0,382671521901041
-52,21373;-0,0116934309638797
-52,21198;-0,41978211165416
-52,21023;-0,0310022495676116
-52,20848;0,178860796144976
-52,20672;-0,366494976269877
-52,20497;0,0579450748620849
-52,20322;0,0940848936311217
-52,20147;-0,339719495958078
-52,19971;-0,200990016450369
-52,19796;0,353443993382975
-52,19621;0,218288936213968
-52,19446;0,184203898113257
-52,19271;-0,0842022151949725
-52,19095;-0,0727884851827791
-52,18921;0,219263163481672
-52,18745;0,325401034017514
-52,1857;0,138799324651878
-52,18394;-0,235424186423981
-52,1822;-0,0646603939849276
